Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"931,774","122,764","1,054,538"
2002,11,"899,258","156,016","1,055,274"
2002,12,"1,082,705","173,780","1,256,485"
2002,TOTAL,"12,305,968","1,831,191","14,137,159"
2003,1,"878,763","170,253","1,049,016"
2003,2,"856,459","164,965","1,021,424"
2003,3,"1,000,331","187,137","1,187,468"
2003,4,"991,258","168,648","1,159,906"
2003,5,"1,083,729","157,820","1,241,549"
2003,6,"1,246,523","148,990","1,395,513"
2003,7,"1,376,591","174,662","1,551,253"
2003,8,"1,393,919","190,237","1,584,156"
2003,9,"1,032,805","111,875","1,144,680"
2003,10,"1,045,731","137,524","1,183,255"
2003,11,"1,042,001","169,578","1,211,579"
2003,12,"1,133,722","183,302","1,317,024"
2003,TOTAL,"13,081,832","1,964,991","15,046,823"
2004,1,"944,003","176,837","1,120,840"
2004,2,"966,456","165,809","1,132,265"
2004,3,"1,158,433","176,292","1,334,725"
2004,4,"1,112,449","177,409","1,289,858"
2004,5,"1,154,085","155,384","1,309,469"
2004,6,"1,353,734","158,360","1,512,094"
2004,7,"1,478,369","172,622","1,650,991"
2004,8,"1,476,184","177,576","1,653,760"
2004,9,"1,151,559","126,486","1,278,045"
2004,10,"1,128,834","139,638","1,268,472"
2004,11,"1,145,747","173,262","1,319,009"
2004,12,"1,218,281","188,055","1,406,336"
2004,TOTAL,"14,288,134","1,987,730","16,275,864"
2005,1,"1,044,032","186,303","1,230,335"
2005,2,"999,462","174,533","1,173,995"
2005,3,"1,236,038","208,220","1,444,258"
2005,4,"1,170,371","190,831","1,361,202"
2005,5,"1,190,350","169,338","1,359,688"
2005,6,"1,351,254","155,251","1,506,505"
2005,7,"1,457,784","173,574","1,631,358"
2005,8,"1,466,903","185,865","1,652,768"
2005,9,"1,196,558","144,827","1,341,385"
2005,10,"1,142,357","155,195","1,297,552"
2005,11,"1,146,869","196,739","1,343,608"
2005,12,"1,183,755","214,121","1,397,876"
2005,TOTAL,"14,585,733","2,154,797","16,740,530"
2006,1,"1,021,481","215,984","1,237,465"
2006,2,"1,011,068","197,489","1,208,557"
2006,3,"1,231,127","224,516","1,455,643"
2006,4,"1,201,561","217,934","1,419,495"
2006,5,"1,266,710","176,310","1,443,020"
