Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"443,823","1,947","445,770"
2002,11,"430,822","1,175","431,997"
2002,12,"466,366","2,195","468,561"
2002,TOTAL,"5,567,938","19,184","5,587,122"
2003,1,"445,822","1,361","447,183"
2003,2,"422,443","1,049","423,492"
2003,3,"477,925","2,137","480,062"
2003,4,"432,155","1,160","433,315"
2003,5,"429,618","1,390","431,008"
2003,6,"467,998","2,081","470,079"
2003,7,"525,320","2,126","527,446"
2003,8,"548,633","2,232","550,865"
2003,9,"425,301","1,022","426,323"
2003,10,"460,482","1,764","462,246"
2003,11,"462,310","1,737","464,047"
2003,12,"479,793","1,528","481,321"
2003,TOTAL,"5,577,800","19,587","5,597,387"
2004,1,"455,724","1,399","457,123"
2004,2,"442,044","1,534","443,578"
2004,3,"497,114","1,416","498,530"
2004,4,"463,396","1,129","464,525"
2004,5,"453,419","4,452","457,871"
2004,6,"481,823","7,992","489,815"
2004,7,"524,697","6,984","531,681"
2004,8,"506,403","6,367","512,770"
2004,9,"407,904","8,042","415,946"
2004,10,"431,290","9,331","440,621"
2004,11,"430,218","8,794","439,012"
2004,12,"427,233","7,993","435,226"
2004,TOTAL,"5,521,265","65,433","5,586,698"
2005,1,"426,518","9,045","435,563"
2005,2,"424,679","5,662","430,341"
2005,3,"486,014","7,336","493,350"
2005,4,"445,240","5,516","450,756"
2005,5,"466,528","5,175","471,703"
2005,6,"491,356","6,609","497,965"
2005,7,"535,090","8,519","543,609"
2005,8,"521,830","6,196","528,026"
2005,9,"458,432","8,576","467,008"
2005,10,"475,589","9,599","485,188"
2005,11,"475,937","7,775","483,712"
2005,12,"489,746","9,395","499,141"
2005,TOTAL,"5,696,959","89,403","5,786,362"
2006,1,"474,959","8,993","483,952"
2006,2,"449,992","6,106","456,098"
2006,3,"502,897","6,952","509,849"
2006,4,"475,862","7,652","483,514"
2006,5,"493,353","6,095","499,448"
2006,6,"526,439","6,555","532,994"
2006,7,"560,767","6,568","567,335"
2006,8,"539,191","5,012","544,203"
2006,9,"474,988","6,858","481,846"
2006,10,"514,749","6,797","521,546"
2006,11,"518,843","6,455","525,298"
2006,12,"544,483","7,069","551,552"
2006,TOTAL,"6,076,523","81,112","6,157,635"
2007,1,"535,214","6,636","541,850"
2007,2,"509,044","6,050","515,094"
2007,3,"598,127","7,576","605,703"
2007,4,"562,521","6,793","569,314"
2007,5,"577,725","6,250","583,975"
2007,6,"606,096","6,329","612,425"
2007,7,"644,828","7,499","652,327"
2007,8,"634,181","6,435","640,616"
2007,9,"568,725","7,754","576,479"
2007,10,"597,213","7,215","604,428"
2007,11,"580,621","7,047","587,668"
2007,12,"554,232","7,130","561,362"
2007,TOTAL,"6,968,527","82,714","7,051,241"
2008,1,"557,879","7,050","564,929"
2008,2,"551,504","5,504","557,008"
2008,3,"601,917","6,911","608,828"
2008,4,"711,636","7,084","718,720"
2008,5,"731,777","9,308","741,085"
2008,6,"683,453","10,895","694,348"
2008,7,"714,904","13,814","728,718"
2008,8,"712,851","11,158","724,009"
2008,9,"583,691","10,583","594,274"
2008,10,"633,538","11,854","645,392"
2008,11,"616,437","11,823","628,260"
2008,12,"630,378","12,623","643,001"
2008,TOTAL,"7,729,965","118,607","7,848,572"
2009,1,"624,665","12,866","637,531"
2009,2,"631,635","9,432","641,067"
2009,3,"704,681","11,639","716,320"
2009,4,"668,614","11,459","680,073"
2009,5,"682,700","11,843","694,543"
2009,6,"693,259","11,104","704,363"
2009,7,"757,742","13,926","771,668"
2009,8,"733,871","12,775","746,646"
2009,9,"671,542","11,882","683,424"
2009,10,"685,973","13,821","699,794"
2009,11,"650,458","14,032","664,490"
2009,12,"685,672","14,385","700,057"
2009,TOTAL,"8,190,812","149,164","8,339,976"
2010,1,"654,142","14,595","668,737"
2010,2,"614,760","11,831","626,591"
2010,3,"690,269","13,576","703,845"
2010,4,"648,048","14,068","662,116"
2010,5,"670,405","14,646","685,051"
2010,6,"713,404","14,737","728,141"
2010,7,"789,442","16,483","805,925"
2010,8,"771,760","15,096","786,856"
2010,9,"642,165","14,109","656,274"
2010,10,"683,050","16,321","699,371"
2010,11,"655,906","19,886","675,792"
2010,12,"689,604","29,429","719,033"
2010,TOTAL,"8,222,955","194,777","8,417,732"
2011,1,"658,187","33,289","691,476"
2011,2,"631,344","34,009","665,353"
2011,3,"698,320","33,746","732,066"
2011,4,"645,035","33,272","678,307"
2011,5,"698,110","38,838","736,948"
2011,6,"695,946","40,380","736,326"
2011,7,"746,162","51,940","798,102"
2011,8,"723,193","55,583","778,776"
2011,9,"637,666","52,041","689,707"
2011,10,"651,854","54,752","706,606"
2011,11,"656,400","50,052","706,452"
2011,12,"687,929","51,157","739,086"
2011,TOTAL,"8,130,146","529,059","8,659,205"
2012,1,"683,661","54,935","738,596"
2012,2,"652,893","49,997","702,890"
2012,3,"720,148","56,511","776,659"
2012,4,"662,893","57,411","720,304"
2012,5,"712,896","68,268","781,164"
2012,6,"754,943","72,376","827,319"
2012,7,"807,926","74,756","882,682"
2012,8,"798,439","77,555","875,994"
2012,9,"687,936","72,126","760,062"
2012,10,"733,003","76,471","809,474"
2012,11,"713,192","77,081","790,273"
2012,12,"733,664","77,170","810,834"
2012,TOTAL,"8,661,594","814,657","9,476,251"
2013,1,"710,149","80,171","790,320"
2013,2,"676,087","75,004","751,091"
2013,3,"769,749","85,997","855,746"
2013,4,"693,157","78,967","772,124"
2013,5,"747,376","88,569","835,945"
2013,6,"785,661","87,369","873,030"
2013,7,"840,094","93,689","933,783"
2013,8,"832,170","92,415","924,585"
2013,9,"690,330","88,980","779,310"
2013,10,"724,436","96,571","821,007"
2013,11,"680,744","84,403","765,147"
2013,12,"731,525","85,132","816,657"
2013,TOTAL,"8,881,478","1,037,267","9,918,745"
2014,1,"735,628","87,305","822,933"
2014,2,"671,503","78,104","749,607"
2014,3,"742,927","81,307","824,234"
2014,4,"704,172","73,615","777,787"
2014,5,"766,430","81,630","848,060"
2014,6,"788,385","87,786","876,171"
2014,7,"862,568","81,971","944,539"
2014,8,"829,829","83,836","913,665"
2014,9,"729,213","80,823","810,036"
2014,10,"759,382","84,414","843,796"
2014,11,"722,447","78,817","801,264"
2014,12,"779,664","79,222","858,886"
2014,TOTAL,"9,092,148","978,830","10,070,978"
2015,1,"750,326","81,040","831,366"
2015,2,"699,853","70,351","770,204"
2015,3,"793,652","74,502","868,154"
2015,4,"732,346","66,778","799,124"
2015,5,"794,611","77,534","872,145"
2015,6,"853,616","78,484","932,100"
2015,7,"903,324","83,595","986,919"
2015,8,"875,489","80,872","956,361"
2015,9,"749,740","79,368","829,108"
2015,10,"805,797","85,446","891,243"
2015,11,"753,297","77,200","830,497"
2015,12,"804,459","81,925","886,384"
2015,TOTAL,"9,516,510","937,095","10,453,605"
2016,1,"784,112","85,638","869,750"
2016,2,"756,878","70,757","827,635"
2016,3,"828,139","73,599","901,738"
2016,4,"777,251","73,500","850,751"
2016,5,"822,764","78,223","900,987"
2016,6,"869,290","79,542","948,832"
2016,7,"929,485","86,534","1,016,019"
2016,8,"878,609","96,264","974,873"
2016,9,"767,484","96,300","863,784"
2016,10,"810,824","101,187","912,011"
2016,11,"757,234",,
2016,12,"810,168",,
2016,TOTAL,"9,792,238","841,544","9,066,380"
2017,1,"808,177",,
2017,TOTAL,"808,177",0,0
