Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2007,8,361,,361
2007,9,668,,668
2007,10,954,,954
2007,11,"1,142",,"1,142"
2007,12,"1,252",,"1,252"
2007,TOTAL,"4,377",0,"4,377"
2008,1,"1,235",,"1,235"
2008,2,"1,298",,"1,298"
2008,3,"1,700",,"1,700"
2008,4,"1,975",,"1,975"
2008,5,"2,205",,"2,205"
2008,6,"2,286",,"2,286"
2008,7,"2,536",,"2,536"
2008,8,"2,472",,"2,472"
2008,9,"2,068",,"2,068"
2008,10,"2,144",,"2,144"
2008,11,"2,142",,"2,142"
2008,12,"2,260",,"2,260"
2008,TOTAL,"24,321",0,"24,321"
2009,1,"2,263",,"2,263"
2009,2,"2,236",,"2,236"
2009,3,"2,724",,"2,724"
2009,4,"2,560",,"2,560"
2009,5,"2,851",,"2,851"
2009,6,"2,899",,"2,899"
2009,7,"3,057",,"3,057"
2009,8,"3,086",,"3,086"
2009,9,"2,776",,"2,776"
2009,10,"2,824",,"2,824"
2009,11,"2,825",,"2,825"
2009,12,"2,941",,"2,941"
2009,TOTAL,"33,042",0,"33,042"
2010,1,"2,870",,"2,870"
2010,2,"2,651",,"2,651"
2010,3,"3,161",,"3,161"
2010,4,"3,005",,"3,005"
2010,5,"3,017",,"3,017"
2010,6,"2,849",31,"2,880"
2010,7,"2,918",124,"3,042"
2010,8,"2,911",124,"3,035"
2010,9,"2,619",120,"2,739"
2010,10,"2,854",124,"2,978"
2010,11,"3,007",112,"3,119"
2010,12,"3,099",141,"3,240"
2010,TOTAL,"34,961",776,"35,737"
2011,1,"3,114",177,"3,291"
2011,2,"2,810",188,"2,998"
2011,3,"3,275",218,"3,493"
2011,4,"3,397",129,"3,526"
2011,5,"3,645",120,"3,765"
2011,6,"3,757",128,"3,885"
2011,7,"3,885",134,"4,019"
2011,8,"3,809",132,"3,941"
2011,9,"3,639",94,"3,733"
2011,10,"3,772",89,"3,861"
2011,11,"3,839",102,"3,941"
2011,12,"4,045",198,"4,243"
2011,TOTAL,"42,987","1,709","44,696"
2012,1,"4,062",170,"4,232"
2012,2,"3,837",160,"3,997"
2012,3,"4,349",178,"4,527"
2012,4,"4,435",170,"4,605"
2012,5,"4,715",176,"4,891"
2012,6,"4,744",173,"4,917"
2012,7,"5,025",178,"5,203"
2012,8,"5,053",173,"5,226"
2012,9,"4,627",96,"4,723"
2012,10,"4,418",102,"4,520"
2012,11,"4,545",138,"4,683"
2012,12,"4,646",192,"4,838"
2012,TOTAL,"54,456","1,906","56,362"
2013,1,"4,229",122,"4,351"
2013,2,"3,725",98,"3,823"
2013,3,"4,292",116,"4,408"
2013,4,"4,554",106,"4,660"
2013,5,"5,127",110,"5,237"
2013,6,"5,097",136,"5,233"
2013,7,"5,279",138,"5,417"
2013,8,"5,203",116,"5,319"
2013,9,"4,761",80,"4,841"
2013,10,"4,927",92,"5,019"
2013,11,"4,720",114,"4,834"
2013,12,"4,961",112,"5,073"
2013,TOTAL,"56,875","1,340","58,215"
2014,1,"4,752",102,"4,854"
2014,2,"4,106",84,"4,190"
2014,3,"4,673",108,"4,781"
2014,4,"4,854",118,"4,972"
2014,5,"4,965",126,"5,091"
2014,6,"4,948",126,"5,074"
2014,7,"5,079",132,"5,211"
2014,8,"4,886",116,"5,002"
2014,9,"4,547",56,"4,603"
2014,10,"4,719",62,"4,781"
2014,11,"4,716",114,"4,830"
2014,12,"4,935",108,"5,043"
2014,TOTAL,"57,180","1,252","58,432"
2015,1,"4,652",94,"4,746"
2015,2,"4,070",86,"4,156"
2015,3,"4,820",106,"4,926"
2015,4,"4,901",124,"5,025"
2015,5,"5,207",118,"5,325"
2015,6,"5,242",130,"5,372"
2015,7,"5,393",150,"5,543"
2015,8,"5,665",124,"5,789"
2015,9,"5,144",78,"5,222"
2015,10,"5,442",92,"5,534"
2015,11,"5,355",112,"5,467"
2015,12,"5,490",124,"5,614"
2015,TOTAL,"61,381","1,338","62,719"
2016,1,"5,228",114,"5,342"
2016,2,"4,903",92,"4,995"
2016,3,"5,568",110,"5,678"
2016,4,"5,599",132,"5,731"
2016,5,"5,808",132,"5,940"
2016,6,"5,849",146,"5,995"
2016,7,"6,072",162,"6,234"
2016,8,"6,055",136,"6,191"
2016,9,"5,709",82,"5,791"
2016,10,"5,784",89,"5,873"
2016,11,"5,905",,
2016,12,"5,988",,
2016,TOTAL,"68,468","1,195","57,770"
2017,1,"5,649",,
2017,TOTAL,"5,649",0,0
