Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2007,8,"38,743",,"38,743"
2007,9,"53,538",,"53,538"
2007,10,"82,461",,"82,461"
2007,11,"98,238",,"98,238"
2007,12,"110,479",,"110,479"
2007,TOTAL,"383,459",0,"383,459"
2008,1,"96,186",,"96,186"
2008,2,"99,300",,"99,300"
2008,3,"165,984",,"165,984"
2008,4,"198,444",,"198,444"
2008,5,"232,562",,"232,562"
2008,6,"241,157",,"241,157"
2008,7,"277,212",,"277,212"
2008,8,"270,781",,"270,781"
2008,9,"227,589",,"227,589"
2008,10,"227,589",,"227,589"
2008,11,"243,626",,"243,626"
2008,12,"256,754",,"256,754"
2008,TOTAL,"2,537,184",0,"2,537,184"
2009,1,"204,830",,"204,830"
2009,2,"219,244",,"219,244"
2009,3,"289,980",,"289,980"
2009,4,"287,467",,"287,467"
2009,5,"303,979",,"303,979"
2009,6,"312,117",,"312,117"
2009,7,"346,525",,"346,525"
2009,8,"358,611",,"358,611"
2009,9,"322,286",,"322,286"
2009,10,"329,941",,"329,941"
2009,11,"326,476",,"326,476"
2009,12,"342,469",,"342,469"
2009,TOTAL,"3,643,925",0,"3,643,925"
2010,1,"287,612",,"287,612"
2010,2,"266,294",,"266,294"
2010,3,"329,083",,"329,083"
2010,4,"319,637",,"319,637"
2010,5,"316,771",,"316,771"
2010,6,"324,952","1,849","326,801"
2010,7,"328,068","10,190","338,258"
2010,8,"337,104","11,853","348,957"
2010,9,"290,782","8,163","298,945"
2010,10,"326,393","10,015","336,408"
2010,11,"350,722","9,037","359,759"
2010,12,"349,367","13,208","362,575"
2010,TOTAL,"3,826,785","64,315","3,891,100"
2011,1,"296,484","11,672","308,156"
2011,2,"289,719","16,234","305,953"
2011,3,"356,926","22,977","379,903"
2011,4,"375,063","13,570","388,633"
2011,5,"416,601","11,636","428,237"
2011,6,"447,883","14,479","462,362"
2011,7,"458,884","15,809","474,693"
2011,8,"452,311","15,047","467,358"
2011,9,"417,803","9,085","426,888"
2011,10,"426,301","10,159","436,460"
2011,11,"429,326","10,445","439,771"
2011,12,"469,436","18,479","487,915"
2011,TOTAL,"4,836,737","169,592","5,006,329"
2012,1,"438,385","14,754","453,139"
2012,2,"431,731","13,912","445,643"
2012,3,"509,093","18,150","527,243"
2012,4,"501,030","18,400","519,430"
2012,5,"513,762","17,571","531,333"
2012,6,"530,241","19,347","549,588"
2012,7,"551,192","19,836","571,028"
2012,8,"583,251","17,305","600,556"
2012,9,"507,043","8,848","515,891"
2012,10,"493,848","10,880","504,728"
2012,11,"474,620","14,631","489,251"
2012,12,"485,322","19,762","505,084"
2012,TOTAL,"6,019,518","193,396","6,212,914"
2013,1,"410,096","11,580","421,676"
2013,2,"394,051","9,398","403,449"
2013,3,"499,052","12,134","511,186"
2013,4,"525,044","11,711","536,755"
2013,5,"574,579","12,301","586,880"
2013,6,"588,676","16,239","604,915"
2013,7,"584,720","16,147","600,867"
2013,8,"574,251","13,370","587,621"
2013,9,"484,463","7,484","491,947"
2013,10,"528,050","10,968","539,018"
2013,11,"462,074","12,369","474,443"
2013,12,"545,807","12,747","558,554"
2013,TOTAL,"6,170,863","146,448","6,317,311"
2014,1,"478,248","10,557","488,805"
2014,2,"435,219","8,969","444,188"
2014,3,"530,412","12,436","542,848"
2014,4,"543,958","15,462","559,420"
2014,5,"561,305","15,890","577,195"
2014,6,"574,342","15,836","590,178"
2014,7,"582,462","16,355","598,817"
2014,8,"570,439","14,631","585,070"
2014,9,"486,828","6,507","493,335"
2014,10,"516,062","7,172","523,234"
2014,11,"508,009","12,296","520,305"
2014,12,"557,729","11,959","569,688"
2014,TOTAL,"6,345,013","148,070","6,493,083"
2015,1,"481,593","9,165","490,758"
2015,2,"444,035","8,978","453,013"
2015,3,"558,868","11,515","570,383"
2015,4,"569,359","14,540","583,899"
2015,5,"585,476","13,440","598,916"
2015,6,"595,257","15,704","610,961"
2015,7,"615,242","18,347","633,589"
2015,8,"627,795","15,244","643,039"
2015,9,"550,129","8,283","558,412"
2015,10,"613,227","10,513","623,740"
2015,11,"588,034","12,516","600,550"
2015,12,"611,959","14,050","626,009"
2015,TOTAL,"6,840,974","152,295","6,993,269"
2016,1,"545,829","12,210","558,039"
2016,2,"534,529","9,169","543,698"
2016,3,"642,494","12,890","655,384"
2016,4,"641,111","16,630","657,741"
2016,5,"683,966","16,557","700,523"
2016,6,"699,641","18,951","718,592"
2016,7,"731,774","21,254","753,028"
2016,8,"721,356","17,581","738,937"
2016,9,"660,743","9,504","670,247"
2016,10,"670,805","11,686","682,491"
2016,11,"670,504",,
2016,12,"655,373",,
2016,TOTAL,"7,858,125","146,432","6,678,680"
2017,1,"594,775",,
2017,TOTAL,"594,775",0,0
